Store,Date,value,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
10,2010-12-10,2411790.21,0,60.51,3.091,126.7934,9.003
10,2010-12-17,2811646.85,0,59.15,3.125,126.8794839,9.003
10,2010-12-24,3749057.69,0,57.06,3.236,126.9835806,9.003
10,2010-12-31,1707298.14,1,49.67,3.148,127.0876774,9.003
10,2011-01-07,1714309.9,0,43.43,3.287,127.1917742,8.744
10,2011-01-14,1710803.59,0,49.98,3.312,127.3009355,8.744
10,2011-01-21,1677556.18,0,56.75,3.336,127.4404839,8.744
10,2011-01-28,1715769.05,0,53.03,3.231,127.5800323,8.744
10,2011-02-04,1968045.91,0,44.88,3.348,127.7195806,8.744
10,2011-02-11,2115408.31,1,51.51,3.381,127.859129,8.744
10,2011-02-18,2106934.55,0,61.77,3.43,127.99525,8.744
10,2011-02-25,1967996.71,0,53.59,3.398,128.13,8.744
10,2011-03-04,1958003.19,0,56.96,3.674,128.26475,8.744
10,2011-03-11,1933469.15,0,64.22,3.63,128.3995,8.744
10,2011-03-18,1884734.31,0,70.12,3.892,128.5121935,8.744
10,2011-03-25,1815798.85,0,62.53,3.716,128.6160645,8.744
10,2011-04-01,1827733.18,0,67.64,3.772,128.7199355,8.494
10,2011-04-08,1870720.73,0,73.03,3.818,128.8238065,8.494
10,2011-04-15,1781767.22,0,61.05,4.089,128.9107333,8.494
10,2011-04-22,2004831.14,0,75.93,3.917,128.9553,8.494
10,2011-04-29,1873646.34,0,73.38,4.151,128.9998667,8.494
10,2011-05-06,1841369.99,0,73.56,4.193,129.0444333,8.494
10,2011-05-13,1712995.44,0,74.04,4.202,129.089,8.494
10,2011-05-20,1720908.01,0,72.62,3.99,129.0756774,8.494
10,2011-05-27,1743000.38,0,78.62,3.933,129.0623548,8.494
10,2011-06-03,1792210.89,0,81.87,3.893,129.0490323,8.494
10,2011-06-10,1740063.1,0,84.57,3.981,129.0357097,8.494
10,2011-06-17,1817934.76,0,87.96,3.935,129.0432,8.494
10,2011-06-24,1711813.13,0,90.69,3.807,129.0663,8.494
10,2011-07-01,1751369.75,0,95.36,3.842,129.0894,8.257
10,2011-07-08,1699708.38,0,88.57,3.793,129.1125,8.257
10,2011-07-15,1775068.4,0,86.01,3.779,129.1338387,8.257
10,2011-07-22,1774342.61,0,88.59,3.697,129.1507742,8.257
10,2011-07-29,1745841.33,0,86.75,3.694,129.1677097,8.257
10,2011-08-05,1886299.98,0,89.8,3.803,129.1846452,8.257
10,2011-08-12,1917397.63,0,85.61,3.794,129.2015806,8.257
10,2011-08-19,1954849.68,0,87.4,3.743,129.2405806,8.257
10,2011-08-26,1728399.07,0,91.59,3.663,129.2832581,8.257
10,2011-09-02,1758587.35,0,91.61,3.798,129.3259355,8.257
10,2011-09-09,1670579.82,1,89.06,3.771,129.3686129,8.257
10,2011-09-16,1650894.3,0,77.49,3.784,129.4306,8.257
10,2011-09-23,1685910.53,0,82.51,3.789,129.5183333,8.257
10,2011-09-30,1627707.31,0,82.27,3.877,129.6060667,8.257
10,2011-10-07,1788227.6,0,75.01,3.827,129.6938,7.874
10,2011-10-14,1704753.02,0,70.27,3.698,129.7706452,7.874
10,2011-10-21,1745928.56,0,77.91,3.842,129.7821613,7.874
10,2011-10-28,1771792.97,0,72.79,3.843,129.7936774,7.874
10,2011-11-04,1904438.59,0,68.57,3.828,129.8051935,7.874
10,2011-11-11,2076570.84,0,55.28,3.677,129.8167097,7.874
10,2011-11-18,1869087.85,0,58.97,3.669,129.8268333,7.874
10,2011-11-25,2950198.64,1,60.68,3.76,129.8364,7.874
10,2011-12-02,2068097.18,0,57.29,3.701,129.8459667,7.874
10,2011-12-09,2429310.9,0,42.58,3.644,129.8555333,7.874
10,2011-12-16,2555031.18,0,50.53,3.489,129.8980645,7.874
10,2011-12-23,3487986.89,0,48.36,3.541,129.9845484,7.874
10,2011-12-30,1930690.37,1,48.92,3.428,130.0710323,7.874
10,2012-01-06,1683401.78,0,59.85,3.443,130.1575161,7.545
10,2012-01-13,1711562.73,0,51.0,3.477,130.244,7.545
10,2012-01-20,1675562.94,0,54.51,3.66,130.2792258,7.545
10,2012-01-27,1632406.0,0,53.59,3.675,130.3144516,7.545
10,2012-02-03,1867403.01,0,56.85,3.543,130.3496774,7.545
10,2012-02-10,2218595.8,1,55.73,3.722,130.3849032,7.545
10,2012-02-17,2168709.76,0,54.12,3.781,130.4546207,7.545
10,2012-02-24,2039415.74,0,56.02,3.95,130.5502069,7.545
10,2012-03-02,1990371.02,0,57.62,3.882,130.6457931,7.545
10,2012-03-09,1917483.1,0,57.65,3.963,130.7413793,7.545
10,2012-03-16,1930814.66,0,62.11,4.273,130.8261935,7.545
10,2012-03-23,1837457.69,0,56.54,4.288,130.8966452,7.545
10,2012-03-30,1815760.42,0,67.92,4.294,130.9670968,7.545
10,2012-04-06,2163384.17,0,65.99,4.282,131.0375484,7.382
10,2012-04-13,1974687.51,0,70.28,4.254,131.108,7.382
10,2012-04-20,1777166.53,0,67.75,4.111,131.1173333,7.382
10,2012-04-27,1712987.56,0,80.11,4.088,131.1266667,7.382
10,2012-05-04,1821364.42,0,77.02,4.058,131.136,7.382
10,2012-05-11,1792345.3,0,76.03,4.186,131.1453333,7.382
10,2012-05-18,1795152.73,0,85.19,4.308,131.0983226,7.382
10,2012-05-25,1830939.1,0,86.03,4.127,131.0287742,7.382
10,2012-06-01,1767471.48,0,80.06,4.277,130.9592258,7.382
10,2012-06-08,1840491.41,0,86.87,4.103,130.8896774,7.382
10,2012-06-15,1811562.88,0,88.58,4.144,130.8295333,7.382
10,2012-06-22,1755334.18,0,89.92,4.014,130.7929,7.382
10,2012-06-29,1707481.9,0,91.36,3.875,130.7562667,7.382
10,2012-07-06,1805999.79,0,86.87,3.666,130.7196333,7.17
10,2012-07-13,1765571.91,0,89.8,3.723,130.683,7.17
10,2012-07-20,1869967.03,0,84.45,3.589,130.7012903,7.17
10,2012-07-27,1817603.66,0,83.98,3.769,130.7195806,7.17
